NC_011498.1	NC_000915.1	NC_012973.1	NC_011333.1	NC_014256.1	Consensus	Std	Count
HPP12_RS00005	HP0001	HELPY_RS07755	HPG27_RS00005	HPB8_RS07715	0.0	0.0	5.0
HPP12_RS00010	HP0002	HELPY_RS07760	HPG27_RS00010	HPB8_RS07710	0.0	0.0	5.0
HPP12_RS00015	HP0003	HELPY_RS00025	HPG27_RS00015	HPB8_RS07705	0.0	0.0	5.0
HPP12_RS00020	HP0004	HELPY_RS00030	HPG27_RS00020	HPB8_RS07700	0.0	0.0	5.0
HPP12_RS00025	HP0005	HELPY_RS00035	HPG27_RS00025	HPB8_RS07695	1.0	0.45	5.0
HPP12_RS00030	HP0006	HELPY_RS00040	HPG27_RS00030	HPB8_RS07690	1.0	0.0	5.0
HPP12_RS00060	HP0009	HELPY_RS00070	HPG27_RS00060	HPB8_RS07655	1.0	0.0	5.0
HPP12_RS00065	HP0010	HELPY_RS00075	HPG27_RS00070	HPB8_RS07650	2.0	0.0	5.0
HPP12_RS00070	HP0011	HELPY_RS00080	HPG27_RS00075	HPB8_RS07645	2.0	0.0	5.0
HPP12_RS00075	HP0012	HELPY_RS00085	HPG27_RS00080	HPB8_RS07635	2.0	0.0	5.0
HPP12_RS00080	HP0013	HELPY_RS00090	HPG27_RS00085	HPB8_RS07630	2.0	0.55	5.0
HPP12_RS00085	HP0014	HELPY_RS00095	HPG27_RS00090	HPB8_RS07625	3.0	0.0	5.0
HPP12_RS00090	HP0015	HELPY_RS00100	HPG27_RS00095	HPB8_RS07620	3.0	0.0	5.0
HPP12_RS00095	HP0016	HELPY_RS00105	HPG27_RS00100	HPB8_RS07615	3.0	0.0	5.0
HPP12_RS00100	HP0017	HELPY_RS00110	HPG27_RS00105	HPB8_RS07610	3.0	0.0	5.0
HPP12_RS00105	HP0018	HELPY_RS00115	HPG27_RS00110	HPB8_RS07605	4.0	0.0	5.0
HPP12_RS00110	HP0019	HELPY_RS00120	HPG27_RS00115	HPB8_RS07600	4.0	0.0	5.0
HPP12_RS00115	HP0020	HELPY_RS00125	HPG27_RS00120	HPB8_RS07595	4.0	0.0	5.0
HPP12_RS00120	HP0021	HELPY_RS00130	HPG27_RS00125	HPB8_RS07590	4.0	0.45	5.0
HPP12_RS00125	HP0022	HELPY_RS00135	HPG27_RS00130	HPB8_RS07585	5.0	0.0	5.0
HPP12_RS00135	HP0024	HELPY_RS00145	HPG27_RS00135	HPB8_RS07575	5.0	0.0	5.0
HPP12_RS00140	HP0025	HELPY_RS00150	HPG27_RS00140	HPB8_RS07565	5.0	0.0	5.0
HPP12_RS00145	HP0026	HELPY_RS00155	HPG27_RS00145	HPB8_RS07560	6.0	0.45	5.0
HPP12_RS00150	HP0027	HELPY_RS00160	HPG27_RS00150	HPB8_RS07555	6.0	0.0	5.0
HPP12_RS00155	HP0028	HELPY_RS00165	HPG27_RS00155	HPB8_RS07550	6.0	0.45	5.0
HPP12_RS00160	HP0029	HELPY_RS00170	HPG27_RS00160	HPB8_RS07545	6.0	0.45	5.0
HPP12_RS00165	HP0030	HELPY_RS00175	HPG27_RS00165	HPB8_RS07540	6.0	0.55	5.0
HPP12_RS00170	HP0031	HELPY_RS00180	HPG27_RS00170	HPB8_RS07535	7.0	0.0	5.0
HPP12_RS00175	HP0032	HELPY_RS00185	HPG27_RS00175	HPB8_RS07530	7.0	0.0	5.0
HPP12_RS00180	HP0033	HELPY_RS00190	HPG27_RS00180	HPB8_RS07525	7.0	0.0	5.0
HPP12_RS00185	HP0034	HELPY_RS00195	HPG27_RS00185	HPB8_RS07520	8.0	0.55	5.0
HPP12_RS00190	HP0035	HELPY_RS00200	HPG27_RS00190	HPB8_RS07515	8.0	0.45	5.0
HPP12_RS00195	HP0036	HELPY_RS00205	HPG27_RS00195	HPB8_RS07510	8.0	0.45	5.0
HPP12_RS00200	HP0037	HELPY_RS00210	HPG27_RS00200	HPB8_RS07505	8.0	0.0	5.0
HPP12_RS00210	HP0038	HELPY_RS00220	HPG27_RS00210	HPB8_RS07495	8.0	0.45	5.0
HPP12_RS00230	HP0044	HELPY_RS00240	HPG27_RS00230	HPB8_RS07475	9.0	0.45	5.0
HPP12_RS00235	HP0045	HELPY_RS00245	HPG27_RS00235	HPB8_RS07470	9.0	0.45	5.0
HPP12_RS00245	HP0047	HELPY_RS00250	HPG27_RS00255	HPB8_RS07465	10.0	0.45	5.0
HPP12_RS00250	HP0048	HELPY_RS00255	HPG27_RS00260	HPB8_RS07460	10.0	0.0	5.0
HPP12_RS00255	HP0049	HELPY_RS00260	HPG27_RS00265	HPB8_RS07455	10.0	0.55	5.0
HPP12_RS00260	HP0050	HELPY_RS00265	HPG27_RS00270	HPB8_RS07225	13.0	4.92	5.0
HPP12_RS00265	HP0051	HELPY_RS00270	HPG27_RS00275	HPB8_RS07220	13.0	4.92	5.0
HPP12_RS00285	HP0055	HELPY_RS00280	HPG27_RS00295	HPB8_RS07190	14.0	4.97	5.0
HPP12_RS00290	HP0056	HELPY_RS00285	HPG27_RS00300	HPB8_RS07185	12.0	5.27	5.0
HPP12_RS00295	HP0057	HELPY_RS00290	HPG27_RS00305	HPB8_RS07180	15.0	4.83	5.0
HPP12_RS00305	HP0059	HELPY_RS00300	HPG27_RS00315	HPB8_RS07170	16.0	4.72	5.0
HPP12_RS00320	HP0061	HELPY_RS00310	HPG27_RS00325	HPB8_RS07160	16.0	4.83	5.0
HPP12_RS00325	HP0062	HELPY_RS00315	HPG27_RS00330	HPB8_RS07155	16.0	4.83	5.0
HPP12_RS00335	HP0064	HELPY_RS00325	HPG27_RS00340	HPB8_RS07145	17.0	4.6	5.0
HPP12_RS00340	HP0065	HELPY_RS00330	HPG27_RS00345	HPB8_RS07140	17.0	4.6	5.0
HPP12_RS00360	HP0067	HELPY_RS00345	HPG27_RS00355	HPB8_RS07130	18.0	4.72	5.0
HPP12_RS00365	HP0068	HELPY_RS00350	HPG27_RS00360	HPB8_RS07125	18.0	4.6	5.0
HPP12_RS00375	HP0070	HELPY_RS00360	HPG27_RS00370	HPB8_RS07115	18.0	4.47	5.0
HPP12_RS00380	HP0071	HELPY_RS00365	HPG27_RS00375	HPB8_RS07110	18.0	4.92	5.0
HPP12_RS00385	HP0072	HELPY_RS00370	HPG27_RS00380	HPB8_RS07105	18.0	4.83	5.0
HPP12_RS00390	HP0073	HELPY_RS00375	HPG27_RS00385	HPB8_RS07100	19.0	4.6	5.0
HPP12_RS00400	HP0074	HELPY_RS00385	HPG27_RS00395	HPB8_RS07090	19.0	4.47	5.0
HPP12_RS00405	HP0075	HELPY_RS00390	HPG27_RS00400	HPB8_RS07085	19.0	4.92	5.0
HPP12_RS00410	HP0076	HELPY_RS00395	HPG27_RS00405	HPB8_RS07080	19.0	4.83	5.0
HPP12_RS00415	HP0077	HELPY_RS00400	HPG27_RS00410	HPB8_RS07075	19.0	4.83	5.0
HPP12_RS00425	HP0079	HELPY_RS00410	HPG27_RS00420	HPB8_RS07065	20.0	4.6	5.0
HPP12_RS00430	HP0080	HELPY_RS00415	HPG27_RS00425	HPB8_RS07055	20.0	4.92	5.0
HPP12_RS00450	HP0083	HELPY_RS00430	HPG27_RS00435	HPB8_RS07045	21.0	4.47	5.0
HPP12_RS00455	HP0084	HELPY_RS00435	HPG27_RS00440	HPB8_RS07040	21.0	4.47	5.0
HPP12_RS00460	HP0085	HELPY_RS00440	HPG27_RS00445	HPB8_RS07035	21.0	4.47	5.0
HPP12_RS00465	HP0086	HELPY_RS00445	HPG27_RS00450	HPB8_RS07030	21.0	4.92	5.0
HPP12_RS00470	HP0087	HELPY_RS00450	HPG27_RS00455	HPB8_RS07025	22.0	4.6	5.0
HPP12_RS00475	HP0088	HELPY_RS00455	HPG27_RS00460	HPB8_RS07020	22.0	4.92	5.0
HPP12_RS00480	HP0089	HELPY_RS00460	HPG27_RS00465	HPB8_RS07015	23.0	4.72	5.0
HPP12_RS00485	HP0090	HELPY_RS00465	HPG27_RS00470	HPB8_RS07010	23.0	4.72	5.0
HPP12_RS00500	HP0092	HELPY_RS00480	HPG27_RS00485	HPB8_RS06995	23.0	4.47	5.0
HPP12_RS00515	HP0095	HELPY_RS00495	HPG27_RS00500	HPB8_RS06980	24.0	4.72	5.0
HPP12_RS00520	HP0096	HELPY_RS00500	HPG27_RS00505	HPB8_RS06975	24.0	4.6	5.0
HPP12_RS00525	HP0097	HELPY_RS00505	HPG27_RS00510	HPB8_RS06970	24.0	4.47	5.0
HPP12_RS00530	HP0098	HELPY_RS00510	HPG27_RS00515	HPB8_RS06965	24.0	4.92	5.0
HPP12_RS00535	HP0099	HELPY_RS00515	HPG27_RS00520	HPB8_RS06960	24.0	4.83	5.0
HPP12_RS00540	HP0100	HELPY_RS00520	HPG27_RS00525	HPB8_RS06955	25.0	4.47	5.0
