query	target	product	sequence	location	Eval	score	identity	similarity	query_coverage	target_coverage	BBH
HPG27_RS00005	HP0001	transcription antitermination protein NusB	NC_000915	complement(217..633)	4.8e-99	276.559	98.6	99.3	100.0	100.0	1.0
HPG27_RS00010	HP0002	6,7-dimethyl-8-ribityllumazine synthase	NC_000915	complement(635..1105)	2.5e-112	311.612	97.4	98.1	100.0	100.0	1.0
HPG27_RS00015	HP0003	2-dehydro-3-deoxyphosphooctonate aldolase	NC_000915	complement(1115..1945)	0	558.91	97.5	98.6	100.0	100.0	1.0
HPG27_RS00020	HP0004	carbonic anhydrase IcfA	NC_000915	complement(1932..2597)	1.4e-148	408.683	93.7	95.9	100.0	100.0	1.0
HPG27_RS00025	HP0005	orotidine 5'-phosphate decarboxylase	NC_000915	2719..3402	5.4e-162	442.965	96.9	98.7	100.0	100.0	1.0
HPG27_RS00030	HP0006	pantothenate synthetase	NC_000915	3403..4233	0	516.924	89.9	94.6	100.0	100.0	1.0
HPG27_RS00060	HP0009	membrane protein	NC_000915	complement(5241..7145)	0	1124.77	90.9	94.2	94.6	100.0	1.0
HPG27_RS00070	HP0010	molecular chaperone GroEL	NC_000915	complement(7603..9243)	0	1083.94	99.6	99.8	100.0	100.0	1.0
HPG27_RS00075	HP0011	co-chaperonin GroES	NC_000915	complement(9268..9624)	2.3e-83	235.343	99.2	99.2	100.0	100.0	1.0
HPG27_RS00080	HP0012	DNA primase	NC_000915	9911..11590	0	1088.17	96.2	97.7	100.0	100.0	1.0
HPG27_RS00085	HP0013	ATP-binding protein	NC_000915	11587..12639	0	695.271	97.1	99.1	100.0	100.0	1.0
HPG27_RS00090	HP0014	hypothetical protein	NC_000915	12728..13555	0	556.214	97.1	97.8	100.0	100.0	1.0
HPG27_RS00095	HP0015	hypothetical protein	NC_000915	13702..13983	4.2e-63	182.185	98.9	100.0	100.0	100.0	1.0
HPG27_RS00100	HP0016	hypothetical protein	NC_000915	13983..14246	3.7e-58	169.088	100.0	100.0	100.0	100.0	1.0
HPG27_RS00105	HP0017	VirB4 family type IV secretion/conjugal transfer ATPase	NC_000915	14248..16611	0	1566.21	98.0	99.2	100.0	100.0	1.0
HPG27_RS00110	HP0018	hypothetical protein	NC_000915	16863..18272	0	894.804	96.6	99.1	100.0	95.1	1.0
HPG27_RS00115	HP0019	chemotaxis protein CheV	NC_000915	18380..19345	0	656.751	99.7	100.0	100.0	100.0	1.0
