chr	-	chr1	chr1	0	1649083	hue000
band	chr1	1	1	0	4581	hue000
band	chr1	2	2	4581	9162	hue001
band	chr1	3	3	9162	13743	hue002
band	chr1	4	4	13743	18324	hue003
band	chr1	5	5	18324	22905	hue004
band	chr1	6	6	22905	27486	hue005
band	chr1	7	7	27486	32067	hue006
band	chr1	8	8	32067	36648	hue007
band	chr1	9	9	36648	41229	hue008
band	chr1	10	10	41229	45810	hue009
band	chr1	11	11	45810	50391	hue010
band	chr1	12	12	50391	54972	hue011
band	chr1	13	13	54972	59553	hue012
band	chr1	14	14	59553	64134	hue013
band	chr1	15	15	64134	68715	hue014
band	chr1	16	16	68715	73296	hue015
band	chr1	17	17	73296	77877	hue016
band	chr1	18	18	77877	82458	hue017
band	chr1	19	19	82458	87039	hue018
band	chr1	20	20	87039	91620	hue019
band	chr1	21	21	91620	96201	hue020
band	chr1	22	22	96201	100782	hue021
band	chr1	23	23	100782	105363	hue022
band	chr1	24	24	105363	109944	hue023
band	chr1	25	25	109944	114525	hue024
band	chr1	26	26	114525	119106	hue025
band	chr1	27	27	119106	123687	hue026
band	chr1	28	28	123687	128268	hue027
band	chr1	29	29	128268	132849	hue028
band	chr1	30	30	132849	137430	hue029
band	chr1	31	31	137430	142011	hue030
band	chr1	32	32	142011	146592	hue031
band	chr1	33	33	146592	151173	hue032
band	chr1	34	34	151173	155754	hue033
band	chr1	35	35	155754	160335	hue034
band	chr1	36	36	160335	164916	hue035
band	chr1	37	37	164916	169497	hue036
band	chr1	38	38	169497	174078	hue037
band	chr1	39	39	174078	178659	hue038
band	chr1	40	40	178659	183240	hue039
band	chr1	41	41	183240	187821	hue040
band	chr1	42	42	187821	192402	hue041
band	chr1	43	43	192402	196983	hue042
band	chr1	44	44	196983	201564	hue043
band	chr1	45	45	201564	206145	hue044
band	chr1	46	46	206145	210726	hue045
band	chr1	47	47	210726	215307	hue046
band	chr1	48	48	215307	219888	hue047
band	chr1	49	49	219888	224469	hue048
band	chr1	50	50	224469	229050	hue049
band	chr1	51	51	229050	233631	hue050
band	chr1	52	52	233631	238212	hue051
band	chr1	53	53	238212	242793	hue052
band	chr1	54	54	242793	247374	hue053
band	chr1	55	55	247374	251955	hue054
band	chr1	56	56	251955	256536	hue055
band	chr1	57	57	256536	261117	hue056
band	chr1	58	58	261117	265698	hue057
band	chr1	59	59	265698	270279	hue058
band	chr1	60	60	270279	274860	hue059
band	chr1	61	61	274860	279441	hue060
band	chr1	62	62	279441	284022	hue061
band	chr1	63	63	284022	288603	hue062
band	chr1	64	64	288603	293184	hue063
band	chr1	65	65	293184	297765	hue064
band	chr1	66	66	297765	302346	hue065
band	chr1	67	67	302346	306927	hue066
band	chr1	68	68	306927	311508	hue067
band	chr1	69	69	311508	316089	hue068
band	chr1	70	70	316089	320670	hue069
