AccNo	Genome_size	Strand	Angle	Deviation (Aligned)	Deviation (Original)
NC_000915.1	1667867	0	0	53.311	47.061
NC_011333.1	1652982	0	0	33.047	42.992
NC_011498.1	1673813	0	0	33.744	40.337
NC_012973.1	1576758	0	0	23.433	45.483
NC_014256.1	1673997	1	342	53.07	177.67
