	NC_011498.1	NC_000915.1	NC_012973.1	NC_011333.1	NC_014256.1	Mean	Std	Median	MedianMean	Consensus	Count
0	0	0	0	0	342	356.0	8.05	0.0	0.0	0.0	5.0
1	0	0	0	0	342	356.0	8.05	0.0	0.0	0.0	5.0
2	0	0	0	0	342	356.0	8.05	0.0	0.0	0.0	5.0
3	0	0	0	0	342	356.0	8.05	0.0	0.0	0.0	5.0
4	1	1	1	1	342	357.0	8.5	1.0	1.0	1.0	5.0
5	1	1	1	1	341	357.0	8.94	1.0	1.0	1.0	5.0
6	1	1	1	1	341	357.0	8.94	1.0	1.0	1.0	5.0
7	2	2	2	2	340	358.0	9.84	2.0	2.0	2.0	5.0
8	2	2	2	2	340	358.0	9.84	2.0	2.0	2.0	5.0
9	2	2	2	2	340	358.0	9.84	2.0	2.0	2.0	5.0
10	2	3	3	2	340	358.0	10.07	2.0	2.0	2.0	5.0
11	3	3	3	3	339	358.0	10.73	3.0	3.0	3.0	5.0
12	3	3	3	3	339	358.0	10.73	3.0	3.0	3.0	5.0
13	3	3	3	3	339	358.0	10.73	3.0	3.0	3.0	5.0
14	3	3	3	3	339	358.0	10.73	3.0	3.0	3.0	5.0
15	4	4	4	4	338	359.0	11.63	4.0	4.0	4.0	5.0
16	4	4	4	4	338	359.0	11.63	4.0	4.0	4.0	5.0
17	4	4	4	4	338	359.0	11.63	4.0	4.0	4.0	5.0
18	4	4	5	4	338	359.0	11.75	4.0	4.0	4.0	5.0
19	5	5	5	5	337	359.0	12.52	5.0	5.0	5.0	5.0
20	5	-	5	-	337	356.0	16.17	5.0	5.0	5.0	3.0
21	5	5	5	5	337	359.0	12.52	5.0	5.0	5.0	5.0
22	5	5	5	5	337	359.0	12.52	5.0	5.0	5.0	5.0
23	6	6	6	6	337	0.0	12.97	6.0	6.0	6.0	5.0
24	6	6	6	6	336	0.0	13.42	6.0	6.0	6.0	5.0
25	6	6	7	6	336	0.0	13.54	6.0	6.0	6.0	5.0
26	6	6	7	6	336	0.0	13.54	6.0	6.0	6.0	5.0
27	6	6	7	7	336	0.0	13.65	6.0	6.0	6.0	5.0
28	7	7	7	7	335	1.0	14.31	7.0	7.0	7.0	5.0
29	7	7	7	7	335	1.0	14.31	7.0	7.0	7.0	5.0
30	7	7	7	7	335	1.0	14.31	7.0	7.0	7.0	5.0
31	7	8	8	8	335	1.0	14.65	8.0	8.0	8.0	5.0
32	8	8	8	8	335	1.0	14.76	8.0	8.0	8.0	5.0
33	8	8	8	8	335	1.0	14.76	8.0	8.0	8.0	5.0
34	8	8	8	8	334	1.0	15.21	8.0	8.0	8.0	5.0
35	8	-	9	8	334	-0.0	17.17	8.0	8.0	8.0	4.0
36	8	8	9	8	334	1.0	15.32	8.0	8.0	8.0	5.0
37	8	-	9	8	334	-0.0	17.17	8.0	8.0	8.0	4.0
38	8	-	9	9	334	0.0	17.34	8.0	9.0	9.0	4.0
39	9	9	10	9	333	2.0	16.22	9.0	9.0	9.0	5.0
40	9	9	10	9	333	2.0	16.22	9.0	9.0	9.0	5.0
41	10	326	318	321	-	334.0	24.39	321.0	322.0	322.0	4.0
42	10	10	10	10	333	3.0	16.55	10.0	10.0	10.0	5.0
43	10	10	10	10	332	2.0	16.99	10.0	10.0	10.0	5.0
44	10	10	11	11	332	3.0	17.22	10.0	10.0	10.0	5.0
45	11	11	11	11	320	1.0	22.81	11.0	11.0	11.0	5.0
46	11	11	11	11	320	1.0	22.81	11.0	11.0	11.0	5.0
47	11	-	-	-	320	346.0	36.06	320.0	320.0	320.0	2.0
48	11	11	-	-	-	11.0	0.0	11.0	11.0	11.0	2.0
49	12	12	11	-	319	358.0	26.34	11.0	12.0	12.0	4.0
50	12	12	11	13	319	1.0	23.71	12.0	12.0	12.0	5.0
51	12	12	12	13	318	1.0	24.27	12.0	12.0	12.0	5.0
52	13	13	13	14	318	2.0	24.71	13.0	13.0	13.0	5.0
53	13	-	-	-	-	13.0	0.0	13.0	13.0	13.0	1.0
54	13	14	13	14	318	2.0	24.83	13.0	14.0	14.0	5.0
55	14	14	14	15	317	3.0	25.61	14.0	14.0	14.0	5.0
56	14	14	14	15	317	3.0	25.61	14.0	14.0	14.0	5.0
57	15	15	14	15	317	3.0	25.83	15.0	15.0	15.0	5.0
58	15	15	14	15	317	3.0	25.83	15.0	15.0	15.0	5.0
59	15	15	-	-	-	15.0	0.0	15.0	15.0	15.0	2.0
60	15	-	-	-	-	15.0	0.0	15.0	15.0	15.0	1.0
61	15	16	15	16	316	4.0	26.61	15.0	16.0	16.0	5.0
62	16	16	15	16	316	4.0	26.72	16.0	16.0	16.0	5.0
63	16	16	15	-	316	1.0	29.84	15.0	16.0	16.0	4.0
64	16	16	16	16	316	4.0	26.83	16.0	16.0	16.0	5.0
65	16	16	16	16	315	4.0	27.28	16.0	16.0	16.0	5.0
66	16	16	16	17	315	4.0	27.4	16.0	16.0	16.0	5.0
67	17	17	16	17	315	4.0	27.62	17.0	17.0	17.0	5.0
68	17	17	17	17	315	5.0	27.73	17.0	17.0	17.0	5.0
69	17	17	17	17	314	4.0	28.17	17.0	17.0	17.0	5.0
70	17	17	17	18	314	5.0	28.29	17.0	17.0	17.0	5.0
71	17	17	17	18	314	5.0	28.29	17.0	17.0	17.0	5.0
72	18	18	17	-	-	18.0	0.58	18.0	18.0	18.0	3.0
73	18	18	17	18	314	5.0	28.51	18.0	18.0	18.0	5.0
74	18	18	18	18	313	5.0	29.07	18.0	18.0	18.0	5.0
75	18	19	-	-	-	18.0	0.71	18.0	18.0	18.0	2.0
76	18	19	18	-	313	2.0	32.67	18.0	18.0	18.0	4.0
77	19	19	19	19	313	6.0	29.52	19.0	19.0	19.0	5.0
78	19	19	19	19	313	6.0	29.52	19.0	19.0	19.0	5.0
79	19	19	19	19	313	6.0	29.52	19.0	19.0	19.0	5.0
80	19	19	19	19	312	6.0	29.96	19.0	19.0	19.0	5.0
81	20	20	19	20	312	6.0	30.3	20.0	20.0	20.0	5.0
82	20	20	20	20	311	6.0	30.86	20.0	20.0	20.0	5.0
83	20	21	20	21	311	7.0	31.09	20.0	20.0	20.0	5.0
84	20	21	20	21	311	7.0	31.09	20.0	20.0	20.0	5.0
85	21	21	21	21	311	7.0	31.3	21.0	21.0	21.0	5.0
86	21	-	21	21	310	3.0	35.5	21.0	21.0	21.0	4.0
87	21	22	21	22	310	7.0	31.98	21.0	22.0	22.0	5.0
88	21	22	22	22	310	7.0	32.09	22.0	22.0	22.0	5.0
89	22	22	22	22	310	8.0	32.2	22.0	22.0	22.0	5.0
90	22	22	22	22	309	7.0	32.65	22.0	22.0	22.0	5.0
91	22	22	22	23	309	8.0	32.76	22.0	22.0	22.0	5.0
92	23	23	23	23	309	8.0	33.09	23.0	23.0	23.0	5.0
93	23	23	23	23	309	8.0	33.09	23.0	23.0	23.0	5.0
94	23	23	23	23	308	8.0	33.54	23.0	23.0	23.0	5.0
95	23	24	24	24	308	9.0	33.88	24.0	24.0	24.0	5.0
96	24	24	24	24	308	9.0	33.99	24.0	24.0	24.0	5.0
97	24	24	24	24	307	9.0	34.44	24.0	24.0	24.0	5.0
98	24	24	24	25	307	9.0	34.55	24.0	24.0	24.0	5.0
99	24	25	25	25	307	9.0	34.77	25.0	25.0	25.0	5.0
100	25	25	25	25	306	9.0	35.33	25.0	25.0	25.0	5.0
101	25	26	26	26	306	10.0	35.67	26.0	26.0	26.0	5.0
102	25	26	26	26	306	10.0	35.67	26.0	26.0	26.0	5.0
103	26	26	26	26	306	10.0	35.78	26.0	26.0	26.0	5.0
104	26	26	26	26	306	10.0	35.78	26.0	26.0	26.0	5.0
105	26	26	26	26	305	10.0	36.22	26.0	26.0	26.0	5.0
106	26	27	27	27	305	10.0	36.56	27.0	27.0	27.0	5.0
107	27	27	27	27	305	11.0	36.67	27.0	27.0	27.0	5.0
108	27	27	28	27	304	11.0	37.23	27.0	27.0	27.0	5.0
109	27	28	265	28	304	346.0	58.17	27.0	28.0	28.0	5.0
110	28	29	28	28	304	11.0	37.68	28.0	28.0	28.0	5.0
111	28	29	29	29	304	12.0	37.9	29.0	29.0	29.0	5.0
112	28	29	29	29	303	12.0	38.35	29.0	29.0	29.0	5.0
113	29	30	29	29	303	12.0	38.57	29.0	29.0	29.0	5.0
114	29	30	29	29	303	12.0	38.57	29.0	29.0	29.0	5.0
115	29	30	29	29	303	12.0	38.57	29.0	29.0	29.0	5.0
116	29	30	29	29	303	12.0	38.57	29.0	29.0	29.0	5.0
117	29	30	30	30	303	12.0	38.8	30.0	30.0	30.0	5.0
118	29	30	30	30	302	12.0	39.25	30.0	30.0	30.0	5.0
119	29	30	30	30	302	12.0	39.25	30.0	30.0	30.0	5.0
120	30	31	30	30	302	13.0	39.47	30.0	30.0	30.0	5.0
121	30	31	31	30	301	13.0	40.03	30.0	30.0	30.0	5.0
122	30	31	31	31	301	13.0	40.14	31.0	31.0	31.0	5.0
123	31	32	31	31	301	13.0	40.36	31.0	31.0	31.0	5.0
124	31	32	31	31	301	13.0	40.36	31.0	31.0	31.0	5.0
125	31	32	31	31	301	13.0	40.36	31.0	31.0	31.0	5.0
126	31	32	32	31	300	13.0	40.92	31.0	32.0	32.0	5.0
127	31	32	32	32	300	13.0	41.03	32.0	32.0	32.0	5.0
128	31	32	32	32	300	13.0	41.03	32.0	32.0	32.0	5.0
129	32	33	33	32	300	14.0	41.37	32.0	32.0	32.0	5.0
130	32	33	33	33	299	14.0	41.93	33.0	33.0	33.0	5.0
131	32	-	33	33	299	9.0	46.84	32.0	33.0	33.0	4.0
132	33	34	34	33	299	15.0	42.26	33.0	34.0	34.0	5.0
133	33	34	34	34	299	15.0	42.38	34.0	34.0	34.0	5.0
134	33	34	34	34	298	15.0	42.82	34.0	34.0	34.0	5.0
135	33	34	34	34	298	15.0	42.82	34.0	34.0	34.0	5.0
136	33	34	34	34	298	15.0	42.82	34.0	34.0	34.0	5.0
137	34	35	34	34	298	15.0	43.05	34.0	34.0	34.0	5.0
138	34	35	34	-	298	10.0	48.17	34.0	34.0	34.0	4.0
139	34	35	35	34	298	15.0	43.16	34.0	34.0	34.0	5.0
140	34	35	35	34	298	15.0	43.16	34.0	34.0	34.0	5.0
141	34	35	35	35	297	15.0	43.72	35.0	35.0	35.0	5.0
142	34	35	35	35	297	15.0	43.72	35.0	35.0	35.0	5.0
143	35	36	36	35	297	16.0	44.05	35.0	36.0	36.0	5.0
144	35	36	36	35	297	16.0	44.05	35.0	36.0	36.0	5.0
145	35	36	36	35	297	16.0	44.05	35.0	36.0	36.0	5.0
146	35	36	36	35	297	16.0	44.05	35.0	36.0	36.0	5.0
147	35	36	36	36	296	16.0	44.61	36.0	36.0	36.0	5.0
148	35	36	36	36	296	16.0	44.61	36.0	36.0	36.0	5.0
149	36	37	37	36	296	16.0	44.95	36.0	36.0	36.0	5.0
150	36	37	37	36	296	16.0	44.95	36.0	36.0	36.0	5.0
